retailer.id,retailer.name,retailer.slug,retailer.logo
44,ACME Markets,acme-markets,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/44/3638507f-95c3-4ccb-9609-38d229d0ea83.png
233,Albertsons,albertsons,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/233/ed09eb51-5e21-4891-8f17-ee49b3407ee5.png
447,Albertsons Market,albertsons-market,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/447/3fd3c1d9-80ba-489a-b117-1684e5d9a0c7.png
225,Andronico's Community Markets,andronicos-community-markets,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/225/f41c9d9e-e89f-41cc-b59d-d2b576c1a2cb.png
209,Bashas',bashas,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/209/005a934d-95ce-4b0a-9523-a204da0dbadf.png
9,Berkeley Bowl,berkeley-bowl,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/9/c0aa3fa0-7a4c-4e3c-9cc0-f4087d7499d1.png
432,Bianchini's Market Portola Valley,bianchinis,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/432/8efd7c8a-d319-4af9-a434-97999ee3e165.png
41,Bianchini's Market San Carlos,bianchini,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/41/0b2057b9-451c-4e78-8d29-094578865e5a.png
241,Big Y World Class Market,big-y,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/241/43193e0a-f0f1-4a7f-b15f-e3cf09bb90cd.png
481,Billy's Marketplace,billys-marketplace,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/481/4d52290c-8c55-410d-b116-69a7b9d19686.png
471,Brooklyn Harvest,brooklyn-harvest,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/471/34ad5fae-a394-4727-96ba-5cd6ee9f71bd.png
421,Brooklyn Market,brooklyn-market,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/421/2e83ede5-2d2e-4fd0-8156-53e564cc7ee1.png
430,Brookshire's,brookshires,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/430/39c81389-1ae5-460b-b302-7dee89b64ba7.png
437,Carrs,carrs-quality-center,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/437/90d5c54e-40af-4a47-98f9-ba642cd485ba.png
426,Cash Saver,cash-saver,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/426/0cf6e2da-0339-416a-83b5-491ba4debcb4.png
49,Central Market,central-market,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/49/405af463-2e1e-4eb6-a9e9-4fccedee2da9.png
500,City  Market,city-market-us,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/500/a6e354f1-d8e3-4da3-ab9a-ceed30db3e62.png
466,Copps,copps,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/466/e3f9d6c8-4c3e-44b8-936b-ae8bd41d86d7.png
276,Cosentino's Market,cosentinos-market,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/276/8bd056f1-d0a5-4412-a8c8-294e4c2eae67.png
496,Country Mart,country-mart,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/496/23462b52-6aa3-44c5-b518-f16bb0e3696d.png
482,Ctown Supermarkets,ctown-supermarkets,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/482/autogenerated_7e74fe2c-34f0-447b-bc17-dff6981a4dd0.png
142,Cub,cub,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/142/2567b473-d7f9-4928-bad2-2152fadb0877.png
118,CVS Pharmacy®,cvs,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/118/04f5545b-f33b-49e6-9c84-24cbd3f899bc.png
254,D'Agostino,dagnyc,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/254/3663c906-4a01-4cf0-9465-7f7e2b2578fd.png
365,D&W Fresh Market,d-w-fresh-market,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/365/f80198d3-a7d6-4ff8-9a42-6b66cc1ab864.jpg
489,Dan's Supermarket,dans-supermarket,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/489/622ec1a2-7e09-425c-b0f3-4c4ced2b9262.png
269,Dave's Markets,daves-markets,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/269/556b4f86-dfc4-4b87-ae9b-05b5e432243b.png
315,Dave's Mercado,daves-mercado,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/315/4fa8bf33-556d-4e1c-aa28-afe682e7eaec.png
474,DeCicco & Sons,deciccos,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/474/9e6bd2ce-4527-4f77-ae90-899493d5cf96.jpg
287,Dillons,dillons,https://d2lnr5mha7bycj.cloudfront.net/warehouse/logo/287/3487908a-9bac-4272-a59a-255e4f90c9bd.png
